operating_system,size,units
Dos 3.3 ,698,KB
Dos 5.0 ,2.1,MB
Dos 6.22 ,5.9,MB
Windows 2.03 (Dos 5.0) ,3.5,MB
Windows 3.0 (Dos 5.0) ,7.1,MB
Windows 3.1 (Dos 6.22) ,11.2,MB
Windows 3.11 (Dos 6.22) ,21,MB
Windows 95 (CD - OSR2) USB Support ,88,MB
Windows 98 (Second Edition) ,219,MB
Windows ME ,492,MB
Windows NT 3.51 Workstation ,?,MB
Windows NT 4 Workstation SP1 ,353,MB
Windows 2000 Professional ,991,MB
Windows XP Home 32-bit SP3 ,1.99,GB
Windows XP Professional 32-bit SP3 ,2.2,GB
Windows XP Professional 64-bit SP1 ,3.19,GB
Windows XP Professional 64-bit SP2 ,5.34,GB
Windows Vista Starter 32-bit SP1 ,7.39,GB
Windows Vista Home Basic 32-bit SP1 ,7.88,GB
Windows Vista Home Basic 64-bit SP1 ,?,GB
Windows Vista Home Premium 32-bit SP1 ,8.3,GB
Windows Vista Home Premium 64-bit SP1 ,?,GB
Windows Vista Business 32-bit SP1 ,7.81,GB
Windows Vista Business 64-bit SP1 ,12.8,GB
Windows Vista Ultimate 32-bit ,8.37,GB
Windows Vista Ultimate 64-bit ,?,GB
Windows Vista Enterprise SP1 32-bit ,7.74,GB
Windows Vista Enterprise SP1 64-bt ,10.1,GB
Windows 8 Professional 32-bit ,7.45,GB
Windows 8 Professional 64-bit ,9.55,GB
Windows 8.1 Professional 32-bit ,7.27,GB
Windows 8.1 Professional 64-bit ,9.33,GB
